Delta,Theta,Alpha,Beta,Gamma,Extra
2999.353155,4945.625956,3594.446689,2996.900198,1574.254041,235.4020296
1717.176083,2707.013143,1328.186804,3312.703155,1682.374323,182.1218756
2861.713918,2299.076968,2149.225295,2948.819252,1365.902765,135.1078055
6760.157163,10183.57808,6546.42177,2503.06386,1163.733794,234.7755038
7591.670313,4304.41891,3736.930596,1635.794598,1279.227729,211.8157814
7101.537721,8946.132543,6066.449007,2417.314638,1065.800867,145.1377369
7992.172028,10539.91333,6047.787451,2270.499982,1150.411454,104.1084493
9248.836405,17274.84952,4711.156477,2883.294773,1221.211236,221.4211853
13558.40434,22326.29506,11987.03613,3998.373213,1779.259276,228.5460668
3106.786268,3085.04389,2252.372448,2704.731484,1134.537892,89.34173064
6830.304829,17641.11938,5223.479697,2106.876916,816.432482,151.3882002
19498.29894,19148.68208,9187.855274,3206.433657,1374.254267,149.8071217
10546.68566,8306.066292,5773.470023,3289.32318,1805.065665,188.754728
3546.665278,6935.474177,5432.526578,1956.444177,1730.859049,129.525892
3715.527977,2333.401367,1557.015175,1789.43887,1504.894875,207.7495435
3795.195828,8090.333838,4043.961847,1884.073071,1329.95979,89.99681925
5096.746116,5822.495059,2957.90007,3934.025431,1329.49465,182.0313467
2842.650166,4248.909003,2068.411951,2591.156954,1522.784119,244.9139068
4400.596793,5889.051492,4306.636563,3078.606106,1300.732554,136.0050822
2645.71313,6021.795729,2894.400074,2766.80132,1488.397189,120.2503443
2821.201876,2000.464665,3377.576142,3591.150795,2277.753872,135.2364198
3536.034003,3068.726834,3031.282973,2200.100212,1922.556343,129.5294998
2864.448678,6990.494691,4372.739658,3011.800707,1248.046338,137.0612442
2074.493926,1916.087113,1825.43122,2537.223545,1608.555321,115.4407288
3777.458565,2124.488374,4167.173151,3236.44153,1862.781031,236.7438396
6350.182911,3735.885968,3382.904827,3610.367286,2057.360493,229.5366419
4152.105435,2678.346237,1648.170445,3126.97106,1442.546474,167.8625315
6104.626234,2560.975787,4963.172154,4145.599121,2000.277482,102.2520081
953.0524115,2585.940574,1835.98747,2800.376549,1248.948139,204.5894087
2905.781174,4977.153525,2579.642566,3656.520769,1866.705887,178.4918409
2961.032067,2447.706332,2732.070925,2783.667532,1681.357272,194.9630385
2471.493961,4121.830897,2822.812179,4440.092905,1991.900156,173.7974797
4092.287232,4394.733014,1756.968767,2536.101053,1525.489451,202.8040165
4993.336108,4864.005453,1544.190729,2934.089199,1908.929805,158.3738329
3436.994932,2749.596525,3145.776528,2195.022329,1210.320898,120.9961382
3161.706959,3227.673056,1740.46201,2692.238301,1927.545511,157.0535517
4865.665587,7532.208062,2499.427889,3224.7968,943.0335924,145.5997023
2319.611686,2807.525501,2643.432103,2582.475992,1560.496394,149.0531296
1341.355156,3991.719142,2566.212339,2842.67496,1342.026636,205.9519496
2443.744725,3188.64667,2072.056116,2667.520266,1271.328529,96.17278614
5347.427909,5618.659685,4559.34346,3635.115395,1430.77127,117.1537977
2031.377723,2307.527739,2891.722384,2680.250961,1450.438884,133.7124973
2949.208036,3240.849905,2102.371228,1929.549326,1263.527342,128.0807868
4939.421765,7295.927237,4546.340188,2530.829478,1322.058079,88.67900255
3968.926982,8361.700642,4612.287953,2971.684812,1845.991142,103.7520869
3777.267523,2348.07874,1675.177213,2328.361063,1922.184038,131.3142298
1612.82713,1996.437603,1258.844383,3033.495448,1373.300105,122.9650297
1095.930227,1983.783131,1856.320555,2640.04492,1457.639021,111.7498053
808.842204,1955.96823,2454.22654,3469.097973,1698.648414,224.7164719
1142.614926,2774.728141,2352.896456,2851.347462,1424.006246,196.8483855
3734.098108,7303.837961,2852.634363,2834.226346,2235.809311,125.3122663
2964.558523,3844.039787,2076.693146,3442.395904,1480.297928,356.2043224
7401.376379,7317.713962,4293.464613,4087.362742,1335.810014,101.9685631
5232.622151,5033.435661,3273.836388,2892.089488,1669.86324,111.4355279
2559.715555,4218.330163,3220.737906,2504.854005,1164.925482,226.1335576
4615.63605,7186.50031,2948.4929,2503.499443,1272.957389,136.9326346
2096.188018,5051.947894,3033.401685,2900.611389,1408.235397,135.8034586
2651.024556,3597.141604,2075.79104,2132.118652,1366.253091,181.5319055
3444.952293,2868.92645,3150.171725,2996.880852,1516.375266,169.7175554
4625.008827,3374.202047,1534.224095,3171.313207,1312.869901,118.7251502
1359.29464,1940.728079,1797.94626,2963.293918,1331.080699,158.4951931
4424.05303,8873.341809,3509.690158,3646.014311,1515.872837,120.5276879
1670.319734,1234.925819,1770.83311,2003.874327,1686.103488,105.5922876
3907.472369,6398.406423,2575.495599,2277.457939,1096.608224,129.2921773
2089.347391,5039.931045,3021.436233,3210.258218,1597.193578,143.4350361
7009.841563,9750.32928,2544.121856,2568.796801,1929.759653,104.6659808
3949.587819,6418.35379,3615.655586,2539.578086,1764.01958,194.6802132
6469.75521,13697.71131,7444.370236,2373.829807,1404.757424,148.0247578
3038.053635,3143.548978,2541.117164,1665.547847,1263.530989,159.4852337
9648.990536,11180.38567,3478.648696,2664.519751,1706.464086,123.796893
10219.55329,7307.363992,4581.529682,3201.315002,1511.691836,152.9048487
8926.725951,8789.043867,3393.787295,2377.352875,1151.588537,156.5637771
